tempo,amplitude,amplitude_filtered,noise
3.0400000000000027e-06,7.9756423,8.085858438162392,-0.11021613816239206
3.0600000000000025e-06,8.0532745,8.070256190142869,-0.016981690142868544
3.0800000000000027e-06,8.1296634,8.054997404477762,0.0746659955222384
3.1000000000000025e-06,8.1823715,8.040221225267473,0.1421502747325274
3.1200000000000027e-06,8.1920778,8.02592783421829,0.1661499657817096
3.1400000000000025e-06,8.1544195,8.012105125537762,0.14231437446223794
3.1600000000000028e-06,8.0993137,7.998823680003237,0.1004900199967631
3.1800000000000026e-06,8.0460821,7.986282142562461,0.059799957437538964
3.200000000000003e-06,7.9791429,7.974798057790262,0.004344842209738076
3.220000000000002e-06,7.9059753,7.964751535158353,-0.058776235158353174
3.240000000000003e-06,7.8558738,7.956498528148536,-0.10062472814853596
3.2600000000000027e-06,7.8450435,7.950275642245028,-0.10523214224502819
3.280000000000003e-06,7.8566566,7.946118676337227,-0.08946207633722736
3.3000000000000027e-06,7.873885,7.943812897486069,-0.06992789748606931
3.320000000000003e-06,7.8961054,7.942885667959972,-0.04678026795997248
3.3400000000000027e-06,7.9320439,7.942643368924503,-0.010599468924502808
3.360000000000003e-06,7.9679887,7.94224635854467,0.025742341455329942
3.380000000000003e-06,7.9964609,7.940809219668032,0.05565168033196777
3.400000000000003e-06,8.0193306,7.937509598646402,0.08182100135359782
3.420000000000003e-06,8.0203932,7.931687987442568,0.08870521255743125
3.440000000000003e-06,7.9965325,7.922922955589005,0.07360954441099476
3.460000000000003e-06,7.9508649,7.911071205708554,0.03979369429144608
3.480000000000003e-06,7.8977262,7.896268471872358,0.0014577281276419995
3.500000000000003e-06,7.8539448,7.878894316277207,-0.024949516277207096
3.520000000000003e-06,7.8145349,7.859509782882673,-0.044974882882673484
3.540000000000003e-06,7.7838596,7.838780458403312,-0.05492085840331118
3.560000000000003e-06,7.765035,7.817398296848243,-0.05236329684824259
3.580000000000003e-06,7.7499587,7.796013823611255,-0.04605512361125541
3.6000000000000032e-06,7.7436174,7.775186749535423,-0.03156934953542301
3.620000000000003e-06,7.7485041,7.755358474697864,-0.006854374697864429
3.6400000000000033e-06,7.7621259,7.736845331964933,0.025280568035067397
3.660000000000003e-06,7.7701479,7.719847545069316,0.050300354930684854
3.6800000000000033e-06,7.7557418,7.704466515074249,0.05127528492575095
3.700000000000003e-06,7.7301267,7.690722757103047,0.03940394289695259
3.7200000000000033e-06,7.6957966,7.678568656983394,0.01722794301660624
3.740000000000003e-06,7.6602312,7.667893603726597,-0.007662403726596878
3.7600000000000034e-06,7.6321564,7.658522866841319,-0.026366466841318825
3.780000000000003e-06,7.6072097,7.650214648506109,-0.04300494850610903
3.800000000000003e-06,7.5910005,7.6426612109549605,-0.05166071095496072
3.820000000000003e-06,7.5922548,7.635499526012307,-0.04324472601230678
3.840000000000003e-06,7.6066102,7.628334656954818,-0.02172445695481784
3.860000000000003e-06,7.6284574,7.620775600352709,0.007681799647291321
3.8800000000000035e-06,7.6478242,7.612479458439877,0.035344741560122905
3.900000000000003e-06,7.6553619,7.603196640796133,0.05216525920386683
3.920000000000003e-06,7.652317,7.592808264494769,0.05950873550523106
3.940000000000003e-06,7.624978,7.581347560879992,0.0436304391200073
3.960000000000004e-06,7.5926665,7.568999813182562,0.023666686817438
3.980000000000003e-06,7.5684713,7.556079461605663,0.012391838394337107
4.000000000000003e-06,7.5343179,7.542987492387421,-0.008669592387421154
4.020000000000003e-06,7.4908299,7.530156069108801,-0.0393261691088016
4.040000000000004e-06,7.4560818,7.517989856794059,-0.061908056794059085
4.0600000000000035e-06,7.4431626,7.506814201012433,-0.06365160101243283
4.080000000000003e-06,7.4564352,7.4968390066762165,-0.0404038066762169
4.100000000000003e-06,7.4796951,7.488143898482417,-0.00844879848241753
4.120000000000004e-06,7.4867649,7.480685725312637,0.006079174687362965
4.1400000000000036e-06,7.4863706,7.474324909305773,0.012045690694226785
4.160000000000003e-06,7.4965871,7.468863723477456,0.027723376522543752
4.180000000000003e-06,7.5105585,7.464087908683216,0.046470591316784216
4.200000000000004e-06,7.5108339,7.459803089664905,0.051030810335094934
4.220000000000004e-06,7.4911808,7.455858977482556,0.03532182251744409
4.2400000000000035e-06,7.4696741,7.452157121120472,0.01751697887952819
4.260000000000003e-06,7.4513001,7.448641603385835,0.0026584966141651734
4.280000000000004e-06,7.4248402,7.445275847186367,-0.0204356471863667
4.300000000000004e-06,7.4040065,7.442011755095736,-0.03800525509573571
4.3200000000000035e-06,7.4000179,7.438759094651178,-0.03874119465117776
4.340000000000003e-06,7.401656,7.435363065031085,-0.033707065031085115
4.360000000000004e-06,7.3964551,7.43159640649034,-0.035141306490340085
4.380000000000004e-06,7.395634,7.427169649487361,-0.03153564948736065
4.400000000000004e-06,7.411035,7.42175973116997,-0.010724731169969637
4.420000000000003e-06,7.4283228,7.41505377059164,0.013269029408360389
