tempo,amplitude_filtered
7.24000000000001E-06,6.768858394616170
7.26000000000001E-06,6.760170683619870
7.28000000000001E-06,6.7540617858282400
7.30000000000001E-06,6.750524722
7.32000000000001E-06,6.749399525876310
7.34000000000001E-06,6.7503914259191900
7.36000000000001E-06,6.753100903144110
7.38000000000001E-06,6.757062088988830
7.40000000000001E-06,6.761784601948750
7.42000000000001E-06,6.7667934724100300
7.44000000000001E-06,6.771662316
7.46000000000001E-06,6.776036276648340
7.48000000000001E-06,6.779643205351440
7.50000000000001E-06,6.782293644
7.52000000000001E-06,6.783872056461240
7.54000000000001E-06,6.784322969793940
7.56000000000001E-06,6.783636118490780
7.58000000000001E-06,6.781834192433130
7.60000000000001E-06,6.778965520763980
7.62000000000001E-06,6.775102210868630
7.64000000000001E-06,6.770342406478220
7.66000000000001E-06,6.7648139720137500
7.68000000000001E-06,6.758676441178510
7.70000000000001E-06,6.75211855
7.72000000000001E-06,6.745349886810730
7.74000000000001E-06,6.738586804161630
7.76000000000001E-06,6.732034399867570
7.78000000000001E-06,6.7258677767977600
7.80000000000001E-06,6.720216527523330
7.82000000000001E-06,6.715156157752760
7.84000000000001E-06,6.710708845034170
7.86000000000001E-06,6.706853806285030
7.88000000000001E-06,6.703545211132060
7.90000000000001E-06,6.700733696987500
7.92000000000001E-06,6.698386604343910
7.94000000000001E-06,6.696502252466030
7.96000000000001E-06,6.6951148391896500
7.98000000000001E-06,6.694288573858840
8.00000000000001E-06,6.694101973128900
8.02000000000001E-06,6.694625334296770
8.04000000000001E-06,6.695895800577940
8.06000000000001E-06,6.697894902651430
8.08000000000001E-06,6.700532990452560
8.10000000000001E-06,6.7036437319824900
8.12000000000001E-06,6.7069901424947100
8.14000000000001E-06,6.710281760907900
8.16000000000001E-06,6.713200932001230
8.18000000000001E-06,6.715434916767000
8.20000000000001E-06,6.716709852795710
8.22000000000001E-06,6.716822424972100
8.24000000000001E-06,6.715665422072340
8.26000000000001E-06,6.7132440611381200
8.28000000000001E-06,6.709680960464540
8.30000000000001E-06,6.705208831758360
8.32000000000001E-06,6.700151257252780
8.34000000000001E-06,6.694893243629700
8.36000000000001E-06,6.689844493870860
8.38000000000001E-06,6.685399342031510
8.40000000000001E-06,6.681897856338100
8.42000000000001E-06,6.679592587767480
8.44000000000001E-06,6.678624808856420
8.46000000000001E-06,6.679012963061800
8.48000000000001E-06,6.680654595310170
8.50000000000001E-06,6.683341427810560
8.52000000000001E-06,6.686785647514090
8.54000000000001E-06,6.690654051153810
8.56000000000001E-06,6.694605629833780
8.58000000000001E-06,6.698327655833570
8.60000000000001E-06,6.7015655026085800
8.62000000000001E-06,6.704142309901730
8.64000000000001E-06,6.705966104702410
8.66000000000001E-06,6.707023939358450
8.68000000000001E-06,6.707364753439200
8.70000000000001E-06,6.707074599045780
8.72000000000001E-06,6.706249125698170
8.74000000000001E-06,6.7049685244822000
8.76000000000001E-06,6.703279513685540
8.78000000000001E-06,6.701187611146870
8.80000000000001E-06,6.698661091397500
8.82000000000001E-06,6.695645910357010
8.84000000000001E-06,6.692088848822610
8.86000000000001E-06,6.687964569765450
8.88000000000001E-06,6.683301481776180
8.90000000000001E-06,6.67820136
8.92000000000001E-06,6.672848573177320
8.94000000000001E-06,6.667506332287520
8.96000000000001E-06,6.662499394980730
8.98000000000001E-06,6.658184736294310
9.00000000000001E-06,6.654913645666890
9.02000000000001E-06,6.652990184
9.04000000000001E-06,6.652631732866910
9.06000000000001E-06,6.6539372905477100
9.08000000000001E-06,6.656868248056460
9.10000000000001E-06,6.661244663157410
9.12000000000001E-06,6.666757826949240
9.14000000000001E-06,6.672997431421720
9.16000000000001E-06,6.679489412917770
9.18000000000001E-06,6.685739074372130
9.20000000000001E-06,6.691273706398930
9.22000000000001E-06,6.695679595804920
9.24000000000001E-06,6.698629691361730
9.26000000000001E-06,6.699899869775170
9.28000000000001E-06,6.699373403966700
9.30000000000001E-06,6.697034730952420
9.32000000000001E-06,6.692954851413610
9.34000000000001E-06,6.687271526228060
9.36000000000001E-06,6.680167716144830
9.38000000000001E-06,6.671851410939820
9.40000000000001E-06,6.662539263829290
9.42000000000001E-06,6.652445522250690
9.44000000000001E-06,6.641776817970140
9.46000000000001E-06,6.6307325301147500
9.48000000000001E-06,6.619509658654680
9.50000000000001E-06,6.608310438586060
9.52000000000001E-06,6.597350387517310
9.54000000000001E-06,6.5868643115256000
9.56000000000001E-06,6.577108136
9.58000000000001E-06,6.568355212464930
9.60000000000001E-06,6.5608867520068700
9.62000000000001E-06,6.554976998
9.64000000000001E-06,6.550874552549710
9.66000000000001E-06,6.548781829614720
9.68000000000001E-06,6.548834848475180
9.70000000000001E-06,6.5510855684456100
9.72000000000001E-06,6.555488655187430
9.74000000000001E-06,6.561894195
9.76000000000001E-06,6.570047485074880
9.78000000000001E-06,6.5795966261350800
9.80000000000001E-06,6.590108033273010
9.82000000000001E-06,6.601089171634500
9.84000000000001E-06,6.612016831371970
9.86000000000001E-06,6.622368438234420
9.88000000000001E-06,6.631653473894920
9.90000000000001E-06,6.639442191385460
9.92000000000001E-06,6.645389381064790
9.94000000000001E-06,6.649251777965840
9.96000000000001E-06,6.650898562916820
9.98000000000001E-06,6.650315071326660
1E-05,6.647600160663710
1.002E-05,6.6429577485440700
1.004E-05,6.636682989783590
1.006E-05,6.629143592210180
1.008E-05,6.620757002585170
1.01E-05,6.611964672708750
1.012E-05,6.603205257519670
1.014E-05,6.594889162359580
1.016E-05,6.5873770449185800
1.018E-05,6.580964485150000
1.02E-05,6.575874064911820
1.022E-05,6.572254768198190
1.024E-05,6.570187279730600
1.026E-05,6.569692775840130
1.028E-05,6.570742399737280
1.03E-05,6.5732648724146000
1.032E-05,6.577150537172330
1.034E-05,6.582251360412690
1.036E-05,6.588377719559180
1.038E-05,6.5952939001170700
1.04E-05,6.6027148687009000
1.042E-05,6.6103069769392400
1.044E-05,6.617694779604870
1.046E-05,6.6244751876989600
1.048E-05,6.630238868022050
1.05E-05,6.634597376870050
1.052E-05,6.637213243203360
1.054E-05,6.637829322779110
1.056E-05,6.636293405650990
1.058E-05,6.632574411178630
1.06E-05,6.626767581400720
1.062E-05,6.619087725730980
1.064E-05,6.609851435025680
1.066E-05,6.5994508766155000
1.068E-05,6.588322975403600
1.07E-05,6.576918240148910
1.072E-05,6.565673074564830
1.074E-05,6.554988188486640
1.076E-05,6.545214043071270
1.078E-05,6.536642653942090
1.08E-05,6.529503996052770
1.082E-05,6.523964887404400
1.084E-05,6.52012848
1.086E-05,6.518033133460570
1.088E-05,6.517650276995140
1.09E-05,6.518881688748870
1.092E-05,6.521557282205950
1.094E-05,6.525434857
1.096E-05,6.530203335512420
1.098E-05,6.535490807185970
1.1E-05,6.540878299800730
1.102E-05,6.545919578
1.104E-05,6.550166478382580
1.106E-05,6.553198357443950
1.108E-05,6.554653341198530
1.11E-05,6.554258292551000
1.112E-05,6.551854070610390
1.114E-05,6.547412854313130
1.116E-05,6.541045160042330
1.118E-05,6.532995514263680
1.12E-05,6.52362721
1.122E-05,6.5133978275136900
1.124E-05,6.502828024234860
1.126E-05,6.4924664021278500
1.128E-05,6.482853192520580
1.13E-05,6.474485169167100
1.132E-05,6.467783847705460
1.134E-05,6.463068710736740
1.136E-05,6.460536933215690
1.138E-05,6.460250831
1.14E-05,6.462133954551340
1.142E-05,6.465976333962590
1.144E-05,6.471448823791980
1.146E-05,6.478125795826990
1.148E-05,6.485514650591790
1.15E-05,6.493089853931640
1.152E-05,6.500328622
1.154E-05,6.506745157834650
1.156E-05,6.5119206035773000
1.158E-05,6.515526521838750
1.16E-05,6.517340634
1.162E-05,6.517254446671540
1.164E-05,6.515273208427010
1.166E-05,6.511509172258520
1.168E-05,6.5061694778277200
1.17E-05,6.499540029667860
1.172E-05,6.491966688839370
1.174E-05,6.483834928300500
1.176E-05,6.475548896763110
1.178E-05,6.467510612069950
1.18E-05,6.460099782724970
1.182E-05,6.453654581707510
1.184E-05,6.448453659
1.186E-05,6.444699875175760
1.188E-05,6.442506655258980
1.19E-05,6.441888366577700
1.192E-05,6.442756397244330
1.194E-05,6.444922508886600
1.196E-05,6.448110423542290
1.198E-05,6.4519755614352600
1.2E-05,6.456131543048560
1.202E-05,6.460180836
1.204E-05,6.463746151965850
1.206E-05,6.466499147629360
1.208E-05,6.4681836225927700
1.21E-05,6.468631478065610
1.212E-05,6.4677707918875500
1.214E-05,6.465626247723810
1.216E-05,6.462312750218210
1.218E-05,6.458023401476920
1.22E-05,6.453013141872510
1.222E-05,6.447579334350610
1.224E-05,6.442040512103890
1.226E-05,6.436714506449680
1.228E-05,6.431897224293000
1.23E-05,6.4278433906214100
1.232E-05,6.424750543343050
1.234E-05,6.422747409590080
1.236E-05,6.421887482388340
1.238E-05,6.422148185646690
1.24E-05,6.423435517659550
1.242E-05,6.425593552615900
1.244E-05,6.428417741
1.246E-05,6.431670683706850
1.248E-05,6.435099020302270
1.25E-05,6.438450155773050
1.252E-05,6.441487743940130
1.254E-05,6.444004989520450
1.256E-05,6.445835037985570
1.258E-05,6.446857998687070
1.26E-05,6.447004525536410
1.262E-05,6.4462562866373000
1.264E-05,6.444643959900350
1.266E-05,6.442243466326080
1.268E-05,6.439170949092280
1.27E-05,6.435576620348240
1.272E-05,6.431637233310410
1.274E-05,6.427546792555950
1.276E-05,6.423505284076470
1.278E-05,6.419705657674440
1.28E-05,6.416319899239990
1.282E-05,6.413485603405110
1.284E-05,6.411294808445410
1.286E-05,6.409786856544360
1.288E-05,6.408946661541290
1.29E-05,6.408709049412510
1.292E-05,6.4089688809528100
1.294E-05,6.409595631484750
1.296E-05,6.410450225631440
1.298E-05,6.411401454530810
1.3E-05,6.412339380407020
1.302E-05,6.413183733176840
1.304E-05,6.413886262767970
1.306E-05,6.414427106537040
1.308E-05,6.414806257099490
1.31E-05,6.415032020584570
1.312E-05,6.415108838
1.314E-05,6.415026932944320
1.316E-05,6.4147559445690100
1.318E-05,6.414243978900350
1.32E-05,6.413422550007460
1.322E-05,6.412216706879260
1.324E-05,6.410558546068950
1.326E-05,6.408401475689050
1.328E-05,6.405732289
1.33E-05,6.4025784777407100
1.332E-05,6.399009239
1.334E-05,6.395129978
1.336E-05,6.391071443603660
1.338E-05,6.386975559146120
1.34E-05,6.382980391691880
1.342E-05,6.379206590565160
1.344E-05,6.375747105758970
1.346E-05,6.3726612754327100
1.348E-05,6.369973582513690
1.35E-05,6.367676664446140
1.352E-05,6.365737635
1.354E-05,6.364106519806490
1.356E-05,6.362725632704720
1.358E-05,6.361538897317100
1.36E-05,6.360500346366200
1.362E-05,6.359581124561050
1.364E-05,6.358774325865440
1.366E-05,6.358096961076840
1.368E-05,6.357588410383620
1.37E-05,6.357304984872720
1.372E-05,6.357310754644250
1.374E-05,6.357665507115960
1.376E-05,6.358411352128960
1.378E-05,6.359559879
1.38E-05,6.3610818292628100
1.382E-05,6.3629010590181200
1.384E-05,6.364894154702980
1.386E-05,6.366896496506940
1.388E-05,6.368714731106420
1.39E-05,6.370144651707470
1.392E-05,6.370992529121550
1.394E-05,6.371097235168980
1.396E-05,6.370350219650340
1.398E-05,6.368710591
1.4E-05,6.366213142750180
1.402E-05,6.3629680510782500
1.404E-05,6.359152107230240
1.406E-05,6.354992562947820
1.408E-05,6.350745803049820
1.41E-05,6.346673750424760
1.412E-05,6.343020996376780
1.414E-05,6.339995140857120
1.416E-05,6.337751940650090
1.418E-05,6.336385893
1.42E-05,6.335926085
1.422E-05,6.336336648039620
1.424E-05,6.337521033545160
1.426E-05,6.339329401024450
1.428E-05,6.341568632473520
1.43E-05,6.344014565805010
1.432E-05,6.346425986031350
1.434E-05,6.348559713
1.436E-05,6.350185873830770
1.438E-05,6.351102242529260
1.44E-05,6.351146462235630
1.442E-05,6.350205170386960
1.444E-05,6.348219476683520
1.446E-05,6.345186804749480
1.448E-05,6.341159607084150
1.45E-05,6.336241759690050
1.452E-05,6.330583446277510
1.454E-05,6.324375055568470
1.456E-05,6.317840166049090
1.458E-05,6.311227290919760
